dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2016-09-13,580.0,500,Cal,0,0,47,30,15,12
2016-09-14,677.0,500,Cal,0,0,65,30,16,12
2016-09-15,504.0,500,Cal,0,0,48,30,15,12
2016-09-16,751.0,500,Cal,0,0,79,30,12,12
2016-09-17,366.0,500,Cal,0,0,21,30,10,12
2016-09-18,514.0,500,Cal,0,0,66,30,11,12
2016-09-19,452.0,500,Cal,0,0,29,30,16,12
2016-09-20,643.0,500,Cal,0,0,71,30,13,12
2016-09-21,429.0,500,Cal,0,0,29,30,14,12
2016-09-22,492.0,500,Cal,0,0,39,30,14,12
2016-09-23,480.0,500,Cal,0,0,47,30,13,12
2016-09-24,385.0,500,Cal,0,0,38,30,9,12
2016-09-25,618.0,500,Cal,0,0,79,30,12,12
2016-09-26,357.0,500,Cal,0,0,44,30,12,12
2016-09-27,859.0,500,Cal,0,0,127,30,12,12
2016-09-28,711.0,500,Cal,0,0,105,30,16,12
2016-09-29,653.0,500,Cal,0,0,78,30,14,12
2016-09-30,393.0,500,Cal,0,0,32,30,11,12
2016-10-01,401.0,500,Cal,0,0,40,30,12,12
2016-10-02,577.0,500,Cal,0,0,68,30,10,12
2016-10-03,852.0,500,Cal,0,0,111,30,12,12
2016-10-04,731.0,500,Cal,0,0,77,30,14,12
2016-10-05,849.0,500,Cal,0,0,89,30,16,12
2016-10-06,429.0,500,Cal,0,0,33,30,15,12
2016-10-07,520.0,500,Cal,0,0,66,30,10,12
2016-10-08,507.0,500,Cal,0,0,20,30,14,12
2016-10-09,441.0,500,Cal,0,0,48,30,13,12
2016-10-10,458.0,500,Cal,0,0,59,30,11,12
2016-10-11,752.0,500,Cal,0,0,93,30,13,12
2016-10-12,487.0,500,Cal,0,0,51,30,14,12
2016-10-13,766.0,500,Cal,0,0,95,30,13,12
2016-10-14,403.0,500,Cal,0,0,59,30,9,12
2016-10-15,609.0,500,Cal,0,0,74,30,13,12
2016-10-16,673.0,500,Cal,0,0,70,30,16,12
2016-10-17,357.0,500,Cal,0,0,39,30,11,12
2016-10-18,316.0,500,Cal,0,0,35,30,8,12
2016-10-19,653.0,500,Cal,0,0,88,30,14,12
